*Aici este salvata activitatea suspecta a fiecarui jucator.


L  15:46:03 |deathrun_bhopz| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:56:11 |deathrun_bhopz| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  15:59:26 |deathrun_bhopz| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:17:25 |deathrun_purplez_v2_b3| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:23:50 |deathrun_purplez_v2_b3| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:23:51 |deathrun_purplez_v2_b3| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:40:03 |deathrun_shit_v2| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:55:01 |deathrun_shit_v2| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  16:55:03 |deathrun_shit_v2| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  17:11:18 |deathrun_kings_never_die| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  17:35:00 |deathrun_inferno_beta1| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  17:35:00 |deathrun_inferno_beta1| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  17:37:38 |deathrun_inferno_beta1| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  17:39:04 |deathrun_inferno_beta1| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
