L 12/30/2016 - 00:35:07: Log file started (file "cstrike/addons/amxmodx/logs/TNI_30.12.2016.log") (game "cstrike") (amx "1.8.3-dev+5072")
L 12/30/2016 - 16:33:55: [TNI Systems] [ Name: sd #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:288618976 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:33:55: [TNI Systems] [ Name: sd #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:288618976 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:33:55: [TNI Systems] [ Name: sd #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:288618976 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:33:55: [TNI Systems] [ Name: sd #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:288618976 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 17:01:50: [TNI Systems] CHATBUG: [ Name: maketacke | IP: ( 86.126.32.180 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 17:01:54: [TNI Systems] CHATBUG: [ Name: maketacke | IP: ( 86.126.32.180 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 17:02:00: [TNI Systems] CHATBUG: [ Name: maketacke | IP: ( 86.126.32.180 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 17:10:56: [TNI Systems] CHATBUG: [ Name: Sol | IP: ( 79.118.26.238 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 17:11:14: [TNI Systems] CHATBUG: [ Name: Sol | IP: ( 79.118.26.238 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 17:28:40: [TNI Systems] CHATBUG: [ Name: Sol | IP: ( 79.118.26.238 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 17:28:41: [TNI Systems] CHATBUG: [ Name: Sol | IP: ( 79.118.26.238 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 17:28:42: [TNI Systems] CHATBUG: [ Name: Sol | IP: ( 79.118.26.238 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 17:28:43: [TNI Systems] CHATBUG: [ Name: Sol | IP: ( 79.118.26.238 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
